stt,customer_id,totalspent,frequency,lastpurchasedate,recency,customer_labels
1,KH46251,2680,4,5/23/2022,479,Lapsed Customers
2,KH13593,2560,5,4/15/2023,153,Regular Customers
3,KH28805,2522,6,9/13/2023,2,Regular Customers
4,KH28961,3217,5,6/18/2023,88,Regular Customers
5,KH12163,6463,9,7/8/2023,68,VIP Customers
6,KH28248,3993,7,9/12/2023,2,VIP Customers
7,KH6761,3186,4,11/29/2021,654,Lapsed Customers
8,KH17018,4113,7,6/27/2023,80,VIP Customers
9,KH11462,5411,6,2/27/2023,199,VIP Customers
10,KH43388,8101,8,7/7/2023,69,VIP Customers
11,KH39199,2785,5,3/18/2023,181,Regular Customers
12,KH3843,3763,5,2/12/2022,579,Lapsed Customers
13,KH49593,5982,12,12/19/2022,269,VIP Customers
14,KH34772,4559,8,11/30/2022,288,VIP Customers
15,KH47326,7683,6,6/23/2023,83,VIP Customers
16,KH24270,2542,5,6/19/2023,87,Regular Customers
17,KH25638,3404,5,2/2/2023,225,Regular Customers
18,KH44610,3077,6,5/8/2023,130,Regular Customers
19,KH42239,2085,6,2/15/2023,211,Regular Customers
20,KH36664,10606,9,7/19/2023,58,VIP Customers
21,KH23703,4098,4,7/7/2022,435,Regular Customers
22,KH6089,7073,10,5/23/2023,114,VIP Customers
23,KH34085,3285,5,11/27/2022,291,Regular Customers
24,KH43154,2246,5,12/7/2022,281,Regular Customers
25,KH24260,14584,12,9/21/2022,359,VIP Customers
26,KH15269,8307,7,8/23/2023,22,VIP Customers
27,KH5241,2778,5,9/2/2022,378,Regular Customers
28,KH3443,6038,9,5/15/2023,122,VIP Customers
29,KH47413,5081,8,8/12/2023,33,VIP Customers
30,KH39920,5160,8,7/28/2023,49,VIP Customers
31,KH45933,5149,7,2/4/2023,223,VIP Customers
32,KH8969,3152,2,3/7/2023,192,Regular Customers
33,KH44809,2628,6,8/29/2022,382,Regular Customers
34,KH6163,2550,5,4/25/2023,143,Regular Customers
35,KH2919,6758,10,1/1/2023,256,VIP Customers
36,KH33320,11133,10,7/31/2023,45,VIP Customers
37,KH19284,5084,5,6/19/2023,87,Regular Customers
38,KH38226,7841,6,11/30/2021,654,VIP Customers
39,KH7547,9576,9,3/2/2023,197,VIP Customers
40,KH18196,5440,6,7/10/2023,66,VIP Customers
41,KH14162,5994,6,2/3/2023,223,VIP Customers
42,KH8626,5860,8,7/6/2023,71,VIP Customers
43,KH28501,3797,6,7/28/2023,49,Regular Customers
44,KH29635,4715,4,3/8/2023,190,Regular Customers
45,KH23422,6737,10,6/18/2023,89,VIP Customers
46,KH46076,4628,8,7/23/2023,53,VIP Customers
47,KH13989,4877,5,10/7/2022,343,Regular Customers
48,KH32384,6255,8,3/17/2023,182,VIP Customers
49,KH37881,2103,5,6/1/2023,105,Regular Customers
50,KH27922,6273,6,8/22/2023,24,VIP Customers
51,KH35410,4901,8,12/18/2022,271,VIP Customers
52,KH14237,3931,9,8/18/2023,28,VIP Customers
53,KH40321,2418,5,7/25/2023,52,Regular Customers
54,KH35059,2917,5,1/6/2023,252,Regular Customers
55,KH10461,3240,8,8/16/2023,30,VIP Customers
56,KH24866,1807,5,5/5/2023,133,Regular Customers
57,KH2864,3519,4,4/22/2023,146,Regular Customers
58,KH48598,4037,7,7/6/2022,435,VIP Customers
59,KH30041,4348,4,11/18/2022,300,Regular Customers
60,KH18890,4132,5,8/2/2023,44,Regular Customers
61,KH25798,4888,8,3/2/2023,197,VIP Customers
62,KH19511,3477,6,7/15/2023,62,Regular Customers
63,KH44616,1467,2,12/18/2020,1000,Lapsed Customers
64,KH2935,1831,3,7/8/2023,69,Regular Customers
65,KH47245,3401,5,5/5/2023,133,Regular Customers
66,KH1350,3978,6,5/6/2023,131,Regular Customers
67,KH20370,2410,2,4/12/2023,156,Regular Customers
68,KH15574,5366,8,7/16/2023,61,VIP Customers
69,KH556,3958,6,7/10/2022,431,Regular Customers
70,KH727,2780,3,1/31/2023,226,Regular Customers
71,KH18972,5905,4,2/28/2022,564,Lapsed Customers
72,KH20592,4893,10,4/18/2023,149,VIP Customers
73,KH10687,6471,5,2/6/2023,220,VIP Customers
74,KH22131,7473,11,7/15/2023,62,VIP Customers
75,KH29460,1257,2,5/19/2023,119,Regular Customers
76,KH7896,5619,6,6/14/2023,92,VIP Customers
77,KH5978,4506,6,12/18/2022,270,Regular Customers
78,KH3576,8843,14,1/15/2023,242,VIP Customers
79,KH3254,7126,5,5/7/2023,131,VIP Customers
80,KH26881,3908,5,12/31/2022,258,Regular Customers
81,KH29089,6657,7,6/13/2022,458,VIP Customers
82,KH6717,1494,5,8/27/2023,19,Regular Customers
83,KH9575,5428,10,9/13/2022,366,VIP Customers
84,KH5684,5197,7,7/19/2023,58,VIP Customers
85,KH48873,3002,3,8/27/2021,748,Lapsed Customers
86,KH38623,3749,5,9/2/2022,378,Regular Customers
87,KH8370,4633,5,1/7/2023,250,Regular Customers
88,KH41085,5698,5,8/16/2023,29,VIP Customers
89,KH30759,6643,5,4/25/2022,507,VIP Customers
90,KH18314,5999,8,6/15/2023,91,VIP Customers
91,KH11509,5033,7,8/23/2022,387,VIP Customers
92,KH4939,1243,4,12/14/2022,274,Regular Customers
93,KH19235,3482,4,8/18/2023,28,Regular Customers
94,KH30410,3881,7,3/12/2023,186,VIP Customers
95,KH17603,5179,6,6/15/2022,457,VIP Customers
96,KH43249,2658,3,12/9/2022,280,Regular Customers
97,KH3211,5946,7,9/10/2023,4,VIP Customers
98,KH47762,6434,8,4/10/2022,522,VIP Customers
