orderid,customer_id,purchasedate,productcategory,productprice,quantity,paymentmethod,totalprice
1,KH46251,9/8/2020,Electronics,12,3,Credit Card,36
2,KH46251,3/5/2022,Home,468,4,PayPal,1872
3,KH46251,5/23/2022,Home,288,2,PayPal,576
4,KH46251,11/12/2020,Clothing,196,1,PayPal,196
5,KH13593,11/27/2020,Home,449,1,Credit Card,449
6,KH13593,3/7/2023,Home,250,4,PayPal,1000
7,KH13593,4/15/2023,Electronics,73,1,Credit Card,73
8,KH13593,3/27/2021,Books,337,2,Cash,674
9,KH13593,5/5/2020,Clothing,182,2,PayPal,364
10,KH28805,9/13/2023,Electronics,394,2,Credit Card,788
11,KH28805,3/31/2021,Clothing,366,1,PayPal,366
12,KH28805,1/18/2021,Books,348,1,Credit Card,348
13,KH28805,1/7/2020,Books,103,4,Cash,412
14,KH28805,2/12/2021,Books,240,1,PayPal,240
15,KH28805,7/2/2020,Clothing,368,1,Credit Card,368
16,KH28961,4/25/2021,Books,30,1,PayPal,30
17,KH28961,1/13/2020,Books,153,5,Credit Card,765
18,KH28961,6/18/2023,Clothing,259,1,Credit Card,259
19,KH28961,9/10/2021,Books,489,3,Credit Card,1467
20,KH28961,6/1/2023,Books,232,3,PayPal,696
21,KH12163,12/18/2021,Clothing,255,2,Credit Card,510
22,KH12163,6/20/2020,Books,227,3,PayPal,681
23,KH12163,7/8/2023,Clothing,288,2,PayPal,576
24,KH12163,7/1/2023,Books,60,3,Cash,180
25,KH12163,11/16/2022,Home,285,4,Crypto,1140
26,KH12163,4/7/2020,Books,100,5,Cash,500
27,KH12163,11/28/2020,Electronics,28,4,Credit Card,112
28,KH12163,8/21/2020,Electronics,382,2,PayPal,764
29,KH12163,4/24/2023,Home,400,5,Credit Card,2000
30,KH28248,4/9/2023,Clothing,410,1,Cash,410
31,KH28248,4/26/2020,Books,70,5,PayPal,350
32,KH28248,9/12/2023,Home,243,3,PayPal,729
33,KH28248,6/25/2021,Home,131,4,PayPal,524
34,KH28248,11/24/2021,Home,327,1,Cash,327
35,KH28248,9/22/2022,Books,405,3,PayPal,1215
36,KH28248,8/3/2021,Electronics,219,2,PayPal,438
37,KH6761,11/29/2021,Books,218,5,Credit Card,1090
38,KH6761,11/23/2020,Clothing,304,4,Cash,1216
39,KH6761,1/8/2020,Clothing,20,4,PayPal,80
40,KH6761,5/10/2021,Home,400,2,Cash,800
41,KH17018,6/27/2023,Home,227,2,Cash,454
42,KH17018,1/17/2022,Clothing,285,3,Credit Card,855
43,KH17018,3/3/2022,Books,31,1,Credit Card,31
44,KH17018,5/10/2020,Books,434,4,PayPal,1736
45,KH17018,12/9/2022,Home,156,3,Credit Card,468
46,KH17018,4/30/2021,Clothing,119,3,PayPal,357
47,KH17018,6/25/2020,Electronics,53,4,PayPal,212
48,KH11462,1/12/2020,Clothing,485,3,PayPal,1455
49,KH11462,1/12/2023,Home,191,4,PayPal,764
50,KH11462,1/4/2022,Books,31,5,Cash,155
51,KH11462,8/27/2020,Home,355,5,Credit Card,1775
52,KH11462,2/27/2023,Books,284,3,Crypto,852
53,KH11462,4/20/2020,Clothing,82,5,Cash,410
54,KH43388,5/14/2020,Home,370,5,Cash,1850
55,KH43388,12/2/2020,Clothing,380,2,Credit Card,760
56,KH43388,4/20/2022,Home,365,4,PayPal,1460
57,KH43388,9/15/2020,Electronics,394,3,Cash,1182
58,KH43388,7/7/2023,Home,20,3,PayPal,60
59,KH43388,1/20/2022,Clothing,101,3,Credit Card,303
60,KH43388,8/9/2021,Clothing,337,2,Credit Card,674
61,KH43388,2/27/2022,Clothing,453,4,Cash,1812
62,KH39199,1/24/2022,Books,362,1,Credit Card,362
63,KH39199,3/18/2023,Home,448,2,PayPal,896
64,KH39199,8/20/2022,Books,197,5,Credit Card,985
65,KH39199,7/25/2020,Clothing,21,2,PayPal,42
66,KH39199,12/4/2021,Clothing,250,2,Cash,500
67,KH3843,4/3/2021,Electronics,441,2,Credit Card,882
68,KH3843,2/12/2022,Books,401,3,Crypto,1203
69,KH3843,3/10/2020,Electronics,276,3,Credit Card,828
70,KH3843,5/16/2020,Books,15,2,PayPal,30
71,KH3843,2/11/2022,Books,164,5,Credit Card,820
72,KH49593,12/19/2022,Home,136,5,PayPal,680
73,KH49593,5/21/2021,Home,299,2,Crypto,598
74,KH49593,1/8/2022,Books,196,1,Credit Card,196
75,KH49593,5/1/2021,Books,227,3,PayPal,681
76,KH49593,10/3/2022,Home,291,2,Credit Card,582
